Program Name,Program Owner,Budget,MP Target,Other Metrics,Region,Lifecycle Stage,APM1,APM2,Industry,Segment,Persona,Customer Message
ESMB - Small Business Relief (ANZ),Cat Prestipino,"$3,119.00",$0.00,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Salesforce is a champion for Small Business
Exec Engagement - Exec Programs (ANZ),Lisa Noble,"$713,000.00","$3,900,000.00",,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Exec Engagement - HQ Executive Visits (ANZ),Savannah Fortune,$0.00,$0.00,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Exec Engagement - SIC Briefing + Exec Connects (ANZ),Nick Peers,"$40,000.00","$1,750,000.00",,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
FINS - Evergreen (ANZ),,,,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
FINS - Industry POV Research Q4 Launch (ANZ),Danielle Michael,$0.00,$0.00,"$4m pipegen, 500 downloads/registrations, influence pipegen specifically in EBU",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,1) Digitisation of end to end value chain 2) Cost out strategy 3) Customer centricity 4) Social responsibility
FINS - Insurance Back to Growth (ANZ),Danielle Michael,"$70,000.00","$200,000.00","Target 150 registrations, 450k MP, engage with 70% of EBU accounts",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Get back to growth with truly personalised and seamless end to end experiences that policyholders demand
FINS - SFL Financial Services (ANZ),Danielle Michael,"$34,000.00","$300,000.00","230 form fills/ registrations, 18:1 ROI spend - $1m pipegen for syndication on top of $4m target from Salesforce Live FINS",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Inspiring innovation and transformation through how to content
FINS - Unlock the Full Power of the Bank (ANZ),Danielle Michael,"$37,000.00","$400,000.00","180 registrations, $650k MP, engage with 70% of EBU accounts, engage with 80% of strat accounts",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Get your business up to speed for a digital-first lending your customers will love.
Industries - Speaking the Language of Our Customers (ANZ),Vincent Cotte,,,$1M Pipe Gen,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Ensure customers can begin their Trailblazer journey through education and engagement with Salesforce
IT - Evergreen (ANZ),,,,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
IT - Protecting Business Data Through Trust & Innovation (ANZ),Connie Sellaro,"$33,000.00","$500,000.00",,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
IT - Transform the Customer Experience with Heroku (ANZ),Connie Sellaro,"$28,000.00","$500,000.00",,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
IT - Unlocking Growth Through Employee Experience (ANZ),Connie Sellaro,"$15,000.00","$700,000.00","Generate $2m MP, 50% from 1m conversations program targeting select accounts, promote 4 Trailblazers",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Help unlock new levels of engagement, collaboration and productivity in an all-digital, work-from-anywhere world."
Marketing - Datorama (ANZ),Deidre O'Brien,,,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Marketing - Evergreen (ANZ),,,,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Marketing - Interaction Studio Demand Gen (ANZ),Marisa Colak,"$95,000.00","$750,000.00",,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Marketing - Moments Made by Marketing (ANZ),Marisa Colak,"$28,000.00","$500,000.00","10M  Digital Impressions, 200 Leads, 15 stage 2 Opptys, $2M MP, engage with 10 Individuals from Sales Target List (non-CMO)",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
PubSec - Evergreen (ANZ),,,,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
PubSec - Streamlining Employee Engagement to Deliver Trusted Government (ANZ),Bianka Demets,"$82,000.00","$1,500,000.00",,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Streamlining employee engagement to deliver trusted government services
PubSec - The Trust Imperative - Leadership in the Public Sector (ANZ),Bianka Demets,"$1,000,000.00","$25,000.00",,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Streamlining employee engagement to deliver trusted government services
Retail - Evergreen (ANZ),,,,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Retail - CG Resilience Through Ecosystem Agility & VC Transparency (ANZ),Vincent Cotte,"$10,000.00","$400,000.00","Interaction with 40 top CG, 800 views",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Transform and connect your integrated Route to Market value chain (B2B2C)
Retail - Streamlining Direct to Consumer (ANZ),Vincent Cotte,"$20,000.00","$400,000.00","1.5M Pipe Gen, interaction with 2,000 RCG and at least 30% in EBU",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Personalise shopper marketing to cater for the rise in direct-to-consumer.
Retail - Supporting the Circular Economy (ANZ),Vincent Cotte,"$7,000.00","$100,000.00","200K MP, 1,300 views, engage with Top Accounts around Sustainability",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Connecting our customers with the community to do well and do good.
Sales - Evergreen (ANZ),,,,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Sales - State of Sales (ANZ),Bianka Demets,"$53,000.00","$200,000.00","2,000 Report Downloads",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Sales Leaders Mobilize for Recovery and Growth
Service - Evergreen (ANZ),,,,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Service - Scale Support Through Self Service & Digital Engagement (ANZ),Connie Sellaro,"$5,000.00","$400,000.00",,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Scale Support Across Any Channel: enable customers to get help quickly and on their own terms with AI-powered bots, self-service and messaging"
Service - Service Cloud Voice (ANZ),Connie Sellaro,"$35,000.00","$1,500,000.00","Generate $3m MP from net new logos and existing Salesforce customers with no Service Cloud, 2 new customers references, engage 5 Strategic Accounts, enable 200 AEs/BDRs & 10 key GTM partners",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Accelerate Agent Service Productivity
Service - Transform Field Service Management (ANZ),Connie Sellaro,"$80,000.00","$750,000.00","Generate $2.5m MP from net new logos and existing Salesforce customers with no Field Cloud, 2 customer refs (Utilities), 200 AEs/BDRS enabled",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Optimise Service From Anywhere
Brand - #1 CRM Digital (ASEAN),,,,,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Brand - Leading Through Change (ASEAN),,"$885,000.00",,,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Brand - Salesforce Live: Asia (ASEAN),,"$20,000.00","$1,500,000.00",,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Engage, educate & inspire net new audience through Salesforce Live: Asia content"
CMRCL - Reignite Growth in a Post-COVID World (ASEAN),Amy Ong,"$883,000.00","$24,500,000.00",,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Help customers reignite growth & re-build faster than competitors
ESMB - Evergreen (ASEAN),,,,,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
ESMB - Future of Work in Small Business (ASEAN),Agnes Phua,"$115,000.00","$1,800,000.00",,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Salesforce helps small business to Find, Win and Keep New Customers through digital transformation. Empower SMBs to be prepared, agile and stay connected through building business resilience for a better digital future."
ESMB - Reimagining Your Path to Growth (Essentials) (ASEAN),Agnes Phua,"$116,000.00","$1,500,000.00",,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Exec Engagement - Exec Programs (ASEAN),Prina Mandavia,"$76,000.00","$500,000.00",,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Exec Engagement - HQ Executive Visits (ASEAN),Savannah Fortune,$0.00,$0.00,,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Exec Engagement - SIC Briefing + Exec Connects (ASEAN),Nick Peers,$0.00,"$600,000.00",,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
IT - Evergreen (ASEAN),,,,,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
IT - Protecting Business Data Through Trust & Innovation (ASEAN),Adeline Teoh,"$24,500.00","$700,000.00",,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Ensure the safety and security of your business data as we adapt to new ways of working. Learn how to strengthen data governance and security with Salesforce
IT - Transform the Customer Experience with Heroku (ASEAN),Adeline Teoh,"$24,000.00","$700,000.00",,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"As we shift to new ways of working, staying connected and responsive to customers is vital. Heroku, Communities, Mobile Publisher help automate processes to rapidly shift to new ways of working and working remotely; Use customer facing apps to keep connected to customers."
IT - Unlocking Growth Through Employee Experience (ASEAN),Adeline Teoh,"$25,000.00","$800,000.00",,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Help customers unlock new levels of engagement with employees; improving collaboration and productivity in an all-digital, work-from-anywhere world."
Marketing - Acquire and Connect with Marketing Buyers (ASEAN),Michelle Lim,"$40,000.00","$2,000,000.00","Generate >1M Stage 2+ opportunity for Marketing Cloud, new logos, +3 localised customer stories - Bluebird, Seek Asia, ABS-CBN",ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Help Sales to acquire prospective customers through scaled support by helping them to understand how Salesforce products help marketers build customer relationships in a data-driven tech age
Marketing - Datorama (ASEAN),Deidre O'brien,,,,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Marketing - Evergreen (ASEAN),,,,,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Marketing - Winning Hearts and Minds of CMOs (ASEAN),Michelle Lim,"$63,500.00","$5,000,000.00","$3M Stage 2+ opportunity for Marketing Cloud, New logos, 30 MC AEs, SEs and BDR reps enabled  
+3 localised customer stories - Bluebird, Seek Asia, ABS-CBN",ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Salesforce is a go-to source of information on the latest trends impacting marketers across the globe. We have our finger on the pulse of marketers' top priorities and challenges, the innovations and transformations top marketing organizations are pursuing."
Sales - State of Sales (ASEAN),Amy Ong,"$35,000.00","$400,000.00",,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Sales - Evergreen (ASEAN),,,,,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Service - Building Mindshare Amongst Service Buyers (ASEAN),Adeline Teoh,"$55,000.00","$700,000.00",,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Empathetically respond to more customers and empower agents to work remotely
Service - Transform Field Service Management (ASEAN),Adeline Teoh,"$25,000.00","$1,500,000.00",,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Service - Evergreen (ASEAN),,,,,ASEAN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Brand - #1 CRM Digital (GCR),,"$75,000.00","$750,000.00",,GCR,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Brand - Leading Through Change (GCR,Amy Ong,"$62,000","$1,500,000",,GCR,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Brand - Salesforce Live: Asia (GCR),Ivy Ng,"$20,000.00","$125,000",,GCR,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
ESMB - Evergreen (GCR),,,,,GCR,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
IT - Evergreen (GCR),,$0.00,$0.00,,GCR,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Marketing - Datorama (GCR),Deidre O'brien,,,,GCR,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Marketing - Evergreen (GCR),,"$30,000.00","$300,000.00",,GCR,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Marketing - Winning Hearts and Minds of CMOs (GCR),Ivy Ng,"$165,000","$1,180,000",,GCR,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
PubSec - Evergreen (GCR),,,,,GCR,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Sales - State of Sales (GCR),,,,,GCR,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Sales - Evergreen (GCR),,"$100,000.00","$1,000,000.00",,GCR,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Service - Scale Support Through Self Service & Digital Engagement (GCR),Ivy Ng,,"$247,500",,GCR,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Service - Evergreen (GCR),,"$30,000.00","$300,000.00",,GCR,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Brand - #1 CRM Digital (IN),,"$125,000.00","$1,250,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Brand - Leading Through Change (IN),,,,,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Brand - Salesforce Live: IN,Archana Sinha,"$53,070","$3,000,000",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Engage, educate & inspire net new audience through Salesforce Live: India content"
CMRCL - Empowering Emerging Industries to Transform Digitally (IN),Madhur Dhawan,"$50,000.00","$1,000,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,C360 followed by Industry-specific use cases to solve your top challenge
CMRCL - Growing Pipeline (75% NLs) with Customer 360 Vision (IN),Madhur Dhawan,"$59,500.00","$1,050,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Connect to your customers in a whole new way with the world’s #1 CRM platform
ENTR - Reignite Growth in a Post-COVID World (IN),Archana Chopda,"$21,000.00","$1,000,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Grow in the post COVID world
ESMB - Evergreen (IN),,"$15,000.00","$150,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
ESMB - Small Business Growth (IN),Ramakrishna Bhargav,"$39,800.00","$800,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Find, Win and Keep New Customers"
ESMB - Startup Engagement (IN),Ramakrishna Bhargav,"$20,200.00","$400,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Salesforce helps Startups Find, Win and Keep New Customers"
Exec Engagement - HQ Executive Visits (IN),Savannah Fortune,$0.00,$0.00,,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Exec Engagement - SIC Briefing + Exec Connects (IN),Nick Peers,$0.00,"$150,000",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
FINS - Hyperpersonalization Service for Financial Services (IN),Archana Chopda,"$5,000.00","$125,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,“Service to Sales” and Digital Engagement with customers and prospects
IT - Evergreen (IN),,$0.00,$0.00,,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
IT - Transform the Customer Experience with Heroku (IN),Margaret S DCosta,"$5,000.00","$100,000",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
IT - Unlocking Growth Through Employee Experience (IN),Margaret S DCosta,$0.00,"$100,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Help unlock new levels of engagement, collaboration and productivity in an all-digital, work-from-anywhere world."
Marketing - Datorama (IN),Deidre O'brien,,,,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Marketing - Evergreen (IN),,"$30,000.00","$300,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Marketing - Moments Made by Marketing (IN),Ramakrishna Bhargav,"$16,000.00","$350,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Educate and inspire marketers - how they can create magical moments in real time. 
Marketing - Winning Hearts and Minds of CMOs (IN),Ramakrishna Bhargav,"$24,000.00","$500,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,We Bring Marketing and Engagement Together
PubSec - Evergreen (IN),,,,,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Sales - Evergreen (IN),,"$120,000.00","$1,200,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Sales - State of Sales (IN),Madhur Dhawan,"$10,000","$200,000",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Service - Scale Support Through Self Service & Digital Engagement (IN),Margaret S DCosta,"$14,000.00","$750,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Scale Support Across Any Channel: enable customers to get help quickly and on their own terms with AI-powered bots, self-service and messaging"
Service - Transform Field Service Management (IN),Margaret S DCosta,"$5,000.00","$250,000.00",,IN,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,Optimise Service From Anywhere
Service - Evergreen (IN),,"$30,000.00","$300,000.00",,IN,Awareness,,,,,,
